sent?,avoid?,user_id,date,count,username,country,influence1,influence2,influence3,none_DS dev,alt_name,chronology,count,date,x,y,country2,mentions mentioned,count
x,dead,16978,2009-01-04 15:37:12,2,James2250,US,,,,,,179,2,2009,,,,,
x,dead,32931,,0,Ace of Trades,US,,,,,,180,0,2009,,,,,
x,dead,38836,,0,An64fan,CA,,,,,,181,0,2009,,,,,
x,,5352,,0,eee,US,,,,,,182,0,2009,,,,,
x,dead,19819,,0,EEeee,US,,,,,,183,0,2009,,,,,
x,,33599,2009-01-12 0:00:00,30,Andrea,IT,Gero,Sure,Card_N'FoRcE,,osuplayer111,184,30,2009,5332,1651,55,,55
x,dead,44867,2009-02-02 10:23:59,3,Crazy Jay,CN,,,,,,185,3,2009,5592,611,,,
x,,40998,2009-02-08 10:11:51,0,Real1,SE,Gens,Larto,Starrodkirby86,,,186,0,2009,,,,,
x,dead,10560,,0,-SiN-,ID,,,,,,187,0,2009,,,,,
x,dead,57724,,0,evilc,GB,,,,,,188,0,2009,,,,,
x,dead,39872,2009-02-10 3:57:03,0,Sir Minelli,EC,Larto,,,,,189,0,2009,,,,,
x,hard,22966,2009-02-14 9:43:07,0,Ruduen,US,Larto,,,,,190,0,2009,,,,,
x,,44308,2009-02-15 4:09:04,32,Lesjuh,NL,James,DaRRi,Rolled,,,191,32,2009,5592,1711,,,
x,dead,31803,2009-02-21 16:11:57,0,Skyripper,US,James,awp,peppy,,,192,0,2009,,,,,
x,dead,38408,,0,moonstar,TW,,,,,,193,0,2009,,,,,
x,,13103,,0,abalee,CN,,,,,,194,0,2009,,,,,
x,dead,46872,,0,spiky_meteorite,PH,,,,,,195,0,2009,,,,,
x,,14053,2009-02-25 23:36:46,1,tobebuta,JP,,,,,,196,1,2009,5592,471,,,
x,,9207,2009-02-26 11:46:56,2,minyeob,KR,,,,,,197,2,2009,5592,571,,,
x,dead,39355,,0,Exilon,PT,,,,,,198,0,2009,,,,,
x,dead,26551,,0,Hikato,GB,,,,,,199,0,2009,,,,,
x,dead,41761,,0,lele94,IT,,,,,,200,0,2009,,,,,
x,,6347,2009-03-09 8:53:13,9,ztrot,US,,,,,,201,9,2009,5852,1211,,,
x,dead,19404,,0,Weinmagier,DE,,,,,,202,0,2009,,,,,
x,dead,26366,2009-03-13 5:52:38,1,Luxary,IT,,,,,,203,1,2009,,,,,
x,dead,12217,,0,xxcz111,TW,,,,,,204,0,2009,,,,,
x,dead,36189,,0,Yumiko,IT,,,,,,205,0,2009,,,,,
x,dead,682,,0,Detective Tuesday,US,,,,,,206,0,2009,,,,,
x,dead,42585,,0,SteRRuM,PL,,,,,,207,0,2009,,,,,
x,dead,43938,,0,yanki,HK,,,,,,208,0,2009,,,,,
x,dead,52071,,0,Kyocciola,IT,,,,,,209,0,2009,,,,,
x,,56708,,0,0_o,CA,,,,,,210,0,2009,,,,,
x,dead,47060,2009-03-22 18:12:54,5,v2b,CN,,,,,,211,5,2009,5852,931,,,
x,dead,22684,,0,cesc,IT,,,,,,212,0,2009,,,,,
x,dead,80937,,0,beatmastermap,IT,,,,,,213,0,2009,,,,,
x,dead,35199,,0,Zatoichi,US,,,,,,214,0,2009,,,,,
x,dead,16956,,0,Aeon,PT,,,,,,215,0,2009,,,,,
x,dead,35341,,0,fufe,US,,,,,,216,0,2009,,,,,
x,dead,25425,2009-04-06 2:49:46,0,HarryOrunitia,IT,Al-Azif,Mystearica,v2b,,,217,0,2009,,,,,
x,,13996,2009-04-09 6:55:08,26,Shinxyn,CA,,,,,,218,26,2009,6112,1651,,,
x,dead,21824,,0,lihokwan,HK,,,,,,219,0,2009,,,,,
x,dead,52832,,0,v0xtrot,SE,,,,,,220,0,2009,,,,,
x,dead,16040,,0,proseyu,TW,,,,,,221,0,2009,,,,,
x,dead,64501,,0,Lybydose,US,,,,,,222,0,2009,,,,,
x,dead,37335,,0,FluffRat,US,,,,,,223,0,2009,,,,,
x,dead,57057,2009-04-21 5:43:39,1,Gabi,SE,,,,,,224,1,2009,6112,471,,,
x,,51994,2009-04-21 7:30:06,0,whymeman,US,Luigihann,Gens,Starrodkirby86,,,225,0,2009,,,,,
x,hard,9879,,0,nullset,MX,,,,,,226,0,2009,,,,,
x,dead,41278,,0,RedFox,TW,,,,,,227,0,2009,,,,,
x,dead,32856,,0,Wojjan,BE,,,,,,228,0,2009,,,,,
x,,36222,,0,lthefuryl,IT,,,,,,229,0,2009,,,,,
x,,20865,2009-05-23 0:17:54,2,blissfulyoshi,US,val0108,SapphireGhost,Garven,,,230,2,2009,6372,611,,,
x,dead,3335,,0,AlexanderPD,IT,,,,,,231,0,2009,,,,,
x,dead,37964,,0,CheZDa,FI,,,,,,232,0,2009,,,,,
x,dead,36749,,0,Zekira,PH,,,,,,233,0,2009,,,,,
x,dead,92873,,0,merimeri,JP,,,,,,234,0,2009,,,,,
x,,24269,2009-06-02 22:23:36,3,DeadAlready,TW,,,,,,235,3,2009,,,,,
x,,89619,2009-06-03 21:26:23,11,tieff,RU,James,Al-Azif,happy30,,,236,11,2009,6632,1271,,,
x,,57526,2009-06-04 9:22:48,2,Nexy,US,James,Al-Azif,DaRRi,,,237,2,2009,6632,611,,,
x,,12143,,0,f0012979,TW,,,,,,238,0,2009,,,,,
x,dead,57046,,0,Ryuukun,DE,,,,,,239,0,2009,,,,,
x,dead,18605,,0,dumpsterdiver,US,,,,,,240,0,2009,,,,,
x,dead,44074,,0,RaisTF,RU,,,,,,241,0,2009,,,,,
x,dead,98758,,0,PandaCath,US,,,,,,242,0,2009,,,,,
x,dead,37224,,0,The_Priest_In_Yellow,SE,,,,,,243,0,2009,,,,,
x,dead,76262,,0,Paulo8624,BR,,,,,,244,0,2009,,,,,
x,dead,85235,,0,thepianist,US,,,,,,245,0,2009,,,,,
x,,16989,2009-06-25 0:58:11,0,Guu,CN,Hollow Wings,Streliteela,,,,246,0,2009,,,,,
x,dead,84726,2009-06-26 0:44:29,0,BananasGoMoo,US,Lesjuh,Larto,,,,247,0,2009,,,,,
x,dead,7114,,0,avira0922,JP,,,,,,248,0,2009,,,,,
x,,42460,,0,Sleep Powder,US,,,,,,249,0,2009,,,,,
x,dead,53940,2009-06-30 5:56:54,1,Ultimate,NL,,,,,,250,1,2009,,,,,
x,,71611,2009-07-02 2:41:32,1,KIA,RU,DJPop,Cyril Scarlet,Andrea,,,251,1,2009,,,,,
x,dead,71142,,0,Amodeus,RU,,,,,,252,0,2009,,,,,
x,dead,75322,,0,chel007,RU,,,,,,253,0,2009,,,,,
x,,60574,,0,azuki,JP,,,,,,254,0,2009,,,,,
x,,77537,2009-07-09 2:26:45,3,Breeze,CN,Alace,alvisto,v2b,,,255,3,2009,6892,731,,,
x,,36556,,0,Zodiark1020,IT,,,,,,256,0,2009,,,,,
x,,83268,2009-07-16 19:34:25,0,Matma Rex,PL,Larto,,,,,257,0,2009,,,,,
x,dead,66125,,0,Rawrgasmitron,AU,,,,,,258,0,2009,,,,,
x,hard,64137,,0,Yaahh,DE,galvenize,Monstrata,Sotarks,,,259,0,2009,,,,,
x,,56917,2009-07-22 9:31:00,0,fartownik,PL,DaRRi,Hollow Wings,handsome,,,260,0,2009,,,,,
x,dead,41568,2009-07-23 6:07:20,0,nullPointLOL,AR,,,,none,,261,0,2009,,,,,
x,,27896,2009-07-25 11:11:14,1,al2e10,HK,,,,,,262,1,2009,,,,,
x,,71756,2009-07-30 0:53:46,0,Mukku,FI,Nharox,val0108,Gens,,,263,0,2009,,,,,
x,,105902,2009-07-30 8:14:14,2,Armin,IT,DJPop,Diasios,Larto,,,264,2,2009,6892,611,,,
x,dead,5402,,0,Soaprman,US,,,,,,265,0,2009,,,,,
x,dead,112302,2009-08-01 9:00:29,1,Yes_old,FI,,,,,,266,1,2009,7152,411,,,
x,dead,38763,,0,Senbon,US,,,,,,267,0,2009,,,,,
x,dead,127949,,0,Echona,JP,,,,,,268,0,2009,,,,,
x,dead,95480,2009-08-08 3:58:24,2,alvisto,MY,,,,,,269,2,2009,7152,611,,,
x,dead,54178,,0,Z-Ramm,US,,,,,,270,0,2009,,,,,
x,,101399,2009-08-14 22:19:18,9,MoonFragrance,KR,Sure,kioukiou,yeahyeahyeahhh,,,271,9,2009,7152,1211,,,
x,,81939,2009-08-18 3:19:42,0,illuminist,TH,DJPop,Al-Azif,kioukiou,,,272,0,2009,,,,,
x,dead,11556,,0,x2652300,TW,,,,,,273,0,2009,,,,,
x,dead,111252,,0,Film11,GB,,,,,,274,0,2009,,,,,
x,dead,77221,,0,kino77,CN,,,,,,275,0,2009,,,,,
x,,58042,2009-08-19 22:51:43,2,yeahyeahyeahhh,US,,,,,,276,2,2009,7152,571,,,
x,dead,123491,,0,Teara,ZA,,,,,,277,0,2009,,,,,
x,,133288,,0,HolyBoy,GI,,,,,,278,0,2009,,,,,
x,,102682,2009-08-22 1:38:57,1,Furawa,CN,,,,,,279,1,2009,,,,,
x,,98661,2009-08-23 23:26:49,1,Xgor,SE,Larto,DJPop,mm201,,,280,1,2009,,,,,
x,,43383,,0,Eddycted,NL,,,,,,281,0,2009,,,,,
x,dead,104700,,0,gdeath,CN,,,,,,282,0,2009,,,,,
x,dead,118446,,0,alan_629_6,MY,,,,,,283,0,2009,,,,,
x,,62856,,0,CrazyBanana,PL,,,,,,284,0,2009,,,,,
x,dead,117369,,0,rust45,US,,,,,,285,0,2009,,,,,
x,dead,99748,,0,vincerio,TH,,,,,,286,0,2009,,,,,
